,SceneNumber,StartTime (Seconds),StartTime (TimeStamp),EndTime (Seconds),EndTime (TimeStamp),Path
0,1,0,0:00:00,112,0:01:52,Scenes/1.mp4
1,2,112,0:01:52,141,0:02:21,Scenes/2.mp4
